Molecule Name,Molecule ID,Conformer Range,Molecule Atoms,Target Atoms
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
0,0,1_16_,C15-C12-N4-C10,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
1,1,1_16_,C10-C12-N4-C15,C11-C10-O2-C9
